log2FoldChange,pvalue,padj
-1.180952,2.12222e-05,0.0004428176
-0.403459,0.0123379,0.05489492
0.547847,0.009567422,0.04551663
-0.5905268,0.02001752,0.07735796
0.5209758,0.02903671,0.1005851
-0.5668207,0.01431997,0.06107064
-0.5992807,0.01812644,0.07197331
-0.9720688,0.0002279259,0.002857345
-0.5424358,0.01101641,0.05056573
-0.8069785,0.0005534586,0.005559621
0.7217355,0.0007156543,0.006592502
-0.9283233,5.225646e-10,1.015408e-07
0.5331601,0.01530883,0.063929
0.4190388,0.001661823,0.01250995
-0.6114551,0.001578134,0.01206991
-0.4071697,0.04219687,0.1322682
-0.9529318,0.0005030511,0.005136243
-0.7954166,0.001623412,0.01232525
-1.75995,5.152457e-06,0.0001525618
-0.5781881,0.03258,0.1095019
0.4731232,0.001442624,0.01135473
-0.5407573,0.01306539,0.05701095
0.5142969,0.01892688,0.07439149
0.595254,0.02392144,0.08713737
0.9406196,2.704944e-08,2.850736e-06
0.7810497,0.002378574,0.01641507
0.8927502,0.0008317365,0.007388196
0.8185919,3.478694e-05,0.0006614837
0.8162233,2.582669e-06,9.072901e-05
0.7153159,0.002698264,0.01811302
-0.7002821,0.008301932,0.04100192
-0.707586,0.0114468,0.05210559
0.4301969,0.01272764,0.05581135
-0.5402123,0.001994975,0.01442375
-0.7764294,0.006674851,0.03484822
0.6948589,0.000226594,0.002846387
-0.5348634,0.01444368,0.06134619
0.5790818,0.01401332,0.06025921
-0.5084022,0.04893707,0.1468646
-1.060577,8.328494e-05,0.001284646
-0.6787003,0.01477591,0.0621628
-0.5929762,0.01183837,0.05330267
-0.3907373,0.02239221,0.08327439
-0.5884369,0.02973761,0.1024992
0.7993374,0.0001825738,0.002420563
0.3397495,0.04058836,0.1294521
0.4392167,0.007591544,0.03856554
0.8361717,0.0001082833,0.001596997
-0.6410927,0.02098525,0.07956481
-0.5081158,0.02147478,0.08078052
-0.6583948,0.002722357,0.01818219
0.6518681,0.0198187,0.07687626
0.8360827,6.366718e-06,0.0001807683
-0.6259663,0.02334702,0.08569763
0.6847492,0.0002682044,0.003257217
0.4037433,0.02268263,0.08395274
-0.5351937,0.03231172,0.1089964
-0.6532274,0.006664562,0.03482374
0.6867649,0.0001094731,0.001609229
-0.6564039,0.01195745,0.05364458
-0.4257645,0.04893273,0.1468646
0.6760382,0.0004141827,0.004440324
0.5631422,0.003633658,0.02223828
0.7349413,8.929817e-05,0.001345048
0.4548345,0.02618558,0.09270486
-0.8547587,0.001080164,0.008955277
0.6432082,0.007448866,0.03802713
0.5183856,0.006463555,0.03414428
-0.6700093,0.0004988327,0.005109954
-1.180706,2.037498e-06,7.678282e-05
-1.092405,4.227279e-05,0.0007715002
-0.5199728,0.03557435,0.1171617
-0.7115892,0.00123842,0.009987669
-0.981937,0.0006596413,0.006262061
-1.265219,1.751282e-05,0.000383432
0.4638147,0.01616042,0.06663495
-0.536293,0.02213444,0.08261222
-0.6730354,0.003927946,0.02355253
0.5650627,0.01467934,0.06192411
0.6167934,0.003898586,0.02342165
0.9640637,0.0001008974,0.001508125
0.9153236,0.0007472545,0.006749395
-0.6464291,0.005198157,0.02892532
-0.5732758,0.01571169,0.06521714
-0.4113806,0.04255803,0.1331786
0.6539822,0.009489754,0.04535021
-0.8046573,0.002075667,0.01478407
0.5989182,0.0007445962,0.006749395
0.5655222,0.04064945,0.1294521
-0.7016137,0.01047416,0.04900023
0.9653631,0.0001642143,0.002224585
0.336257,0.007674096,0.03870035
0.3655414,0.01782305,0.07130906
0.5879902,0.009243039,0.04451837
-0.947618,0.0003002706,0.003542851
0.459693,0.004676046,0.02672395
